usCite,caseName,dateDecision
"","PPL MONTANA, LLC, PETITIONER v. MONTANA","2012-02-22"
"","TOBY DOUGLAS, DIRECTOR, CALIFORNIA DEPARTMENT OF HEALTH CARE SERVICES, PETITIONER v. INDEPENDENT LIVING CENTER OF SOUTHERN CALIFORNIA, INC., et al.","2012-02-22"
"","GLORIA GAIL KURNS, EXECUTRIX OF THE ESTATE OF GEORGE M. CORSON, DECEASED, et al., PETITIONERS v. RAILROAD FRICTION PRODUCTS CORPORATION et al.","2012-02-29"
"","MICHAEL MARTEL, WARDEN, PETITIONER v. KENNETH CLAIR","2012-03-05"
"","LUIS MARIANO MARTINEZ, PETITIONER v. CHARLES L. RYAN, DIRECTOR, ARIZONA DEPARTMENT OF CORRECTIONS","2012-03-20"
"","DANIEL COLEMAN, PETITIONER v. COURT OF APPEALS OF MARYLAND et al.","2012-03-20"
"","DANA ROBERTS, PETITIONER v. SEA-LAND SERVICES, INC., et al.","2012-03-20"
"","MAYO COLLABORATIVE SERVICES, DBA MAYO MEDICAL LABORATORIES, et al., PETITIONERS v. PROMETHEUS LABORATORIES, INC.","2012-03-20"
"","CREDIT SUISSE SECURITIES (USA) LLC, et al., PETITIONERS v. VANESSA SIMMONDS","2012-03-26"
"","MENACHEM BINYAMIN ZIVOTOFSKY, BY HIS PARENTS AND GUARDIANS, ARI Z. AND NAOMI SIEGMAN ZIVOTOFSKY, PETITIONER v. HILLARY RODHAM CLINTON, SECRETARY OF STATE","2012-03-26"
"","BLAINE LAFLER, PETITIONER v. ANTHONY COOPER","2012-03-21"
"","MISSOURI, PETITIONER v. GALIN E. FRYE","2012-03-21"
"","CHANTELL SACKETT, et vir, PETITIONERS v. ENVIRONMENTAL PROTECTION AGENCY, et al.","2012-03-21"
"","MONROE ACE SETSER, PETITIONER v. UNITED STATES","2012-03-28"
"","PANAGIS VARTELAS, PETITIONER v. ERIC H. HOLDER, JR., ATTORNEY GENERAL","2012-03-28"
"","FEDERAL AVIATION ADMINISTRATION, et al., PETITIONERS v. STANMORE CAWTHON COOPER","2012-03-28"
"","ALBERT W. FLORENCE, PETITIONER v. BOARD OF CHOSEN FREEHOLDERS OF THE COUNTY OF BURLINGTON et al.","2012-04-02"
"","CARACO PHARMACEUTICAL LABORATORIES, LTD., et al., PETITIONERS v. NOVO NORDISK A/S et al.","2012-04-17"
"","STEVE A. FILARSKY, PETITIONER v. NICHOLAS B. DELIA.","2012-04-17"
"","ASID MOHAMAD, INDIVIDUALLY AND FOR THE ESTATE OF AZZAM RAHIM, DECEASED, et al., PETITIONERS v. PALESTINIAN AUTHORITY et al.","2012-04-18"
"","DAVID J. KAPPOS, UNDER SECRETARY OF COMMERCE FOR INTELLECTUAL PROPERTY AND DIRECTOR, PATENT AND TRADEMARK OFFICE, PETITIONER v. GILBERT P. HYATT","2012-04-18"
"","PATRICK WOOD, PETITIONER v. KEVIN MILYARD, WARDEN, et al.","2012-04-24"
"","UNITED STATES, PETITIONER v. HOME CONCRETE & SUPPLY, LLC, et al.","2012-04-25"
"","LYNWOOD D. HALL, ET UX., PETITIONERS v. UNITED STATES","2012-05-14"
"","MICHAEL J. ASTRUE, COMMISSIONER OF SOCIAL SECURITY, PETITIONER v. KAREN K. CAPATO, ON BEHALF OF B. N. C., et al.","2012-05-21"
"","KOUICHI TANIGUCHI, PETITIONER v. KAN PACIFIC SAIPAN, LTD., DBA MARIANAS RESORT AND SPA","2012-05-21"
"","ERIC H. HOLDER, JR., ATTORNEY GENERAL, PETITIONER  v. CARLOS MARTINEZ GUTIERREZ","2012-05-21"
"","ALEX BLUEFORD, PETITIONER v. ARKANSAS","2012-05-24"
"","TAMMY FORET FREEMAN, et al., PETITIONERS v. QUICKEN LOANS, INC.","2012-05-24"
"","RADLAX GATEWAY HOTEL, LLC, et al. v. AMALGAMATED BANK","2012-05-29"
"","BRIAN COLEMAN, SUPERINTENDENT, STATE CORRECTIONAL INSTITUTION AT FAYETTE, et al. v. LORENZO JOHNSON","2012-05-29"
"","VIRGIL D. 'GUS' REICHLE, JR., et al., PETITIONERS v. STEVEN HOWARDS","2012-06-04"
"","CHRISTINE ARMOUR, et al., PETITIONERS v. CITY OF INDIANAPOLIS, INDIANA, et al.","2012-06-04"
"","PHILIP PARKER, WARDEN v. DAVID EUGENE MATTHEWS","2012-06-11"
"","ELGIN v. DEPARTMENT OF TREASURY","2012-06-11"
"","MATCH-E-BE-NASH-SHE-WISH BAND OF POTTAWATOMI INDIANS v. PATCHAK","2012-06-18"
"","SALAZAR v. RAMAH NAVAJO CHAPTER","2012-06-18"
"","MICHAEL SHANE CHRISTOPHER, et al., PETITIONERS v. SMITHKLINE BEECHAM CORPORATION DBA GLAXOSMITHKLINE","2012-06-18"
"","WILLIAMS v. ILLINOIS","2012-06-18"
"","SOUTHERN UNION CO. v. UNITED STATES","2012-06-21"
"","DIANNE KNOX, et al., PETITIONERS v. SERVICE EMPLOYEES INTERNATIONAL UNION, LOCAL 1000","2012-06-21"
"","EDWARD DORSEY, SR., PETITIONER  v. UNITED STATES","2012-06-21"
"","FEDERAL COMMUNICATIONS COMMISSION, et al., PETITIONERS v. FOX TELEVISION STATIONS, INC., et al. FEDERAL COMMUNICATIONS COMMISSION, et al., PETITIONERS v. ABC, INC., et al.","2012-06-21"
"","AMERICAN TRADITION PARTNERSHIP, INC., FKA WESTERN TRADITION PARTNERSHIP, INC., et al. v. STEVE BULLOCK, ATTORNEY GENERAL OF MONTANA, et al.","2012-06-25"
"","EVAN MILLER, PETITIONER v. ALABAMA","2012-06-25"
"","ARIZONA, et al., PETITIONERS v. UNITED STATES","2012-06-25"
"","UNITED STATES, PETITIONER v. XAVIER ALVAREZ","2012-06-28"
"","NATIONAL FEDERATION OF INDEPENDENT BUSINESS, et al., PETITIONERS v. KATHLEEN SEBELIUS, SECRETARY OF HEALTH AND HUMAN SERVICES, et al.","2012-06-28"
"","FIRST AMERICAN FINANCIAL CORPORATION, SUCCESSOR IN INTEREST TO THE FIRST AMERICAN CORPORATION, et al., PETITIONERS v. DENISE P. EDWARDS","2012-06-28"
"","ARKANSAS GAME AND FISH COMMISSION, PETITIONER v. UNITED STATES","2012-12-04"
"","STEVEN LEFEMINE, DBA COLUMBIA CHRISTIANS FOR LIFE v. DAN WIDEMAN et al.","2012-11-05"
"","NITRO-LIFT TECHNOLOGIES, L.L.C. v. EDDIE LEE HOWARD et al.","2012-11-26"
"","UNITED STATES, PETITIONER v. JAMES X. BORMES","2012-11-13"
"","CAROLYN M. KLOECKNER, PETITIONER v. HILDA L. SOLIS, SECRETARY OF LABOR","2012-12-10"
"","CALVIN SMITH, PETITIONER v. UNITED STATES","2013-01-09"
"","ALREADY, LLC, DBA YUMS, PETITIONER v. NIKE, INC.","2013-01-09"
"","LOS ANGELES COUNTY FLOOD CONTROL DISTRICT PETITIONER v. NATURAL RESOURCES DEFENSE COUNCIL, INC., et al.","2013-01-08"
"","CHARLES L. RYAN, PETITIONER v. ERNEST VALENCIA GONZALES","2013-01-08"
"","FANE LOZMAN, PETITIONER v. THE CITY OF RIVIERA BEACH, FLORIDA","2013-01-15"
"","KATHLEEN SEBELIUS, SECRETARY OF HEALTH AND HUMAN SERVICES, PETITIONER v. AUBURN REGIONAL MEDICAL CENTER et al.","2013-01-22"
"","JEFFREY LEE CHAFIN, PETITIONER v. LYNNE HALES CHAFIN","2013-02-19"
"","CHUNON L. BAILEY, AKA POLO, PETITIONER v. UNITED STATES","2013-02-19"
"","FEDERAL TRADE COMMISSION, PETITIONER v. PHOEBE PUTNEY HEALTH SYSTEM, INC., et al.","2013-02-19"
"","FLORIDA, PETITIONER v. CLAYTON HARRIS","2013-02-19"
"","ARMARCION D. HENDERSON, PETITIONER v. UNITED STATES","2013-02-20"
"","DEBORAH K. JOHNSON, ACTING WARDEN, PETITIONER v. TARA SHENEVA WILLIAMS","2013-02-20"
"","LAMAR EVANS, PETITIONER v. MICHIGAN","2013-02-20"
"","ROSELVA CHAIDEZ, PETITIONER v. UNITED STATES","2013-02-20"
"","OLIVEA MARX, PETITIONER v. GENERAL REVENUE CORPORATION","2013-02-26"
"","JAMES R. CLAPPER, JR., DIRECTOR OF NATIONAL INTELLIGENCE, et al., PETITIONERS v. AMNESTY INTERNATIONAL USA et al.","2013-02-26"
"","MARC J. GABELLI AND BRUCE ALPERT, PETITIONERS v. SECURITIES AND EXCHANGE COMMISSION","2013-02-27"
"","AMGEN INC., et al., PETITIONERS v. CONNECTICUT RETIREMENT PLANS AND TRUST FUNDS","2013-02-27"
"","STEVEN ALAN LEVIN, PETITIONER v. UNITED STATES et al.","2013-03-04"
"","SUPAP KIRTSAENG, DBA BLUECHRISTINE99, PETITIONER v. JOHN WILEY & SONS, INC.","2013-03-19"
"","THE STANDARD FIRE INSURANCE COMPANY, PETITIONER v. GREG KNOWLES","2013-03-19"
"","DOUG DECKER, IN HIS OFFICIAL CAPACITY AS OREGON STATE FORESTER, et al., PETITIONERS v. NORTHWEST ENVIRONMENTAL DEFENSE CENTER;","2013-03-20"
"","ALDONA WOS, SECRETARY, NORTH CAROLINA DEPARTMENT OF HEALTH AND HUMAN SERVICES, PETITIONER v. E. M. A., A MINOR, BY AND THROUGH HER GUARDIAN AD LITEM, DANIEL H. JOHNSON, et al.","2013-03-20"
"","JERRY W. GUNN, et al., PETITIONERS v. VERNON F. MINTON","2013-02-20"
"","FLORIDA, PETITIONER v. JOELIS JARDINES","2013-03-26"
"","COMCAST CORPORATION, et al., PETITIONERS v. CAROLINE BEHREND et al.","2013-03-27"
"","KIM MILLBROOK, PETITIONER v. UNITED STATES","2013-03-27"
"","JOHN MARSHALL, WARDEN v. OTIS LEE RODGERS","2013-04-01"
"","GENESIS HEALTHCARE CORPORATION, et al., PETITIONERS v. LAURA SYMCZYK","2013-04-16"
"","US AIRWAYS, INC., IN ITS CAPACITY AS FIDUCIARY AND PLAN ADMINISTRATOR OF THE US AIRWAYS, INC. EMPLOYEE BENEFITS PLAN, PETITIONER v. JAMES E. MCCUTCHEN et al.","2013-04-16"
"","ESTHER KIOBEL, INDIVIDUALLY AND ON BEHALF OF HER LATE HUSBAND, DR. BARINEM KIOBEL, et al., PETITIONERS v. ROYAL DUTCH PETROLEUM CO. et al.","2013-04-17"
"","MISSOURI, PETITIONER v. G. MCNEELY","2013-04-17"
"","ADRIAN MONCRIEFFE, PETITIONER v. ERIC H. HOLDER, JR., ATTORNEY GENERAL","2013-04-23"
"","MARK J. MCBURNEY, et al., PETITIONERS v. NATHANIEL L. YOUNG, DEPUTY COMMISSIONER AND DIRECTOR, VIRGINIA DIVISION OF CHILD SUPPORT ENFORCEMENT, et al.","2013-04-29"
"","JONATHAN EDWARD BOYER, PETITIONER v. LOUISIANA","2013-04-29"
"","DAN’S CITY USED CARS, INC., DBA DAN’S CITY AUTO BODY, PETITIONER v. ROBERT PELKEY","2013-05-13"
"","RANDY CURTIS BULLOCK, PETITIONER v. BANKCHAMPAIGN, N. A.","2013-05-13"
"","VERNON HUGH BOWMAN, PETITIONER v. MONSANTO COMPANY et al.","2013-05-13"
"","CITY OF ARLINGTON, TEXAS, et al., PETITIONERS v. FEDERAL COMMUNICATIONS COMMISSION et al.","2013-05-20"
"","PPL CORPORATION AND SUBSIDIARIES, PETITIONERS v. COMMISSIONER OF INTERNAL REVENUE","2013-05-20"
"","LINDA METRISH, WARDEN, PETITIONER v. BURT LANCASTER","2013-05-20"
"","KATHLEEN SEBELIUS, SECRETARY OF HEALTH AND HUMAN SERVICES, PETITIONER v. MELISSA CLOER","2013-05-20"
"","GREG MCQUIGGIN, WARDEN, PETITIONER v. FLOYD PERKINS","2013-05-28"
"","CARLOS TREVINO, PETITIONER v. RICK THALER, DIRECTOR, TEXAS DEPARTMENT OF CRIMINAL JUSTICE, CORRECTIONAL INSTITUTIONS DIVISION","2013-05-28"
"","MARYLAND, PETITIONER v. ALONZO JAY KING, JR.","2013-06-03"
"","JACQUELINE HILLMAN, PETITIONER v. JUDY A. MARETTA","2013-06-03"
"","NEVADA, et al., PETITIONERS v. CALVIN O’NEIL JACKSON","2013-06-03"
"","MARVIN D. HORNE, et al., PETITIONERS v. DEPARTMENT OF AGRICULTURE","2013-06-10"
"","MARVIN PEUGH, PETITIONER v. UNITED STATES","2013-06-10"
"","OXFORD HEALTH PLANS LLC, PETITIONER v. JOHN IVAN SUTTER","2013-06-10"
"","AMERICAN TRUCKING ASSOCIATIONS, INC., PETITIONER v. CITY OF LOS ANGELES, CALIFORNIA, et al.","2013-06-13"
"","TARRANT REGIONAL WATER DISTRICT, PETITIONER v. RUDOLF JOHN HERRMANN, et al.","2013-06-13"
"","UNITED STATES, PETITIONER v. ANTHONY DAVILA","2013-06-13"
"","ASSOCIATION FOR MOLECULAR PATHOLOGY, et al., PETITIONERS v. MYRIAD GENETICS, INC., et al.","2013-06-13"
"","GENOVEVO SALINAS, PETITIONER v. TEXAS","2013-06-17"
"","FEDERAL TRADE COMMISSION, PETITIONER v. ACTAVIS, INC., et al.","2013-06-17"
"","ALLEN RYAN ALLEYNE, PETITIONER v. UNITED STATES","2013-06-17"
"","EDWARD F. MARACICH, et al., PETITIONERS v. MICHAEL EUGENE SPEARS et al.","2013-06-17"
"","ARIZONA, et al., PETITIONERS v. THE INTER TRIBAL COUNCIL OF ARIZONA, INC., et al.","2013-06-17"
"","AGENCY FOR INTERNATIONAL DEVELOPMENT, et al., PETITIONERS v. ALLIANCE FOR OPEN SOCIETY INTERNATIONAL, INC., et al.","2013-06-20"
"","AMERICAN EXPRESS COMPANY, et al., PETITIONERS v. ITALIAN COLORS RESTAURANT, et al.","2013-06-20"
"","MATTHEW ROBERT DESCAMPS, PETITIONER v. UNITED STATES","2013-06-20"
"","ABIGAIL NOEL FISHER, PETITIONER v. UNIVERSITY OF TEXAS AT AUSTIN et al.","2013-06-24"
"","MUTUAL PHARMACEUTICAL COMPANY, INC., PETITIONER v. KAREN L. BARTLETT","2013-06-24"
"","MAETTA VANCE, PETITIONER v. BALL STATE UNIVERSITY","2013-06-24"
"","UNITED STATES, PETITIONER v. ANTHONY JAMES KEBODEAUX","2013-06-24"
"","UNIVERSITY OF TEXAS SOUTHWESTERN MEDICAL CENTER, PETITIONER v. NAIEL NASSAR","2013-06-24"
"","SHELBY COUNTY v. HOLDER","2013-06-25"
"","KOONTZ v. ST. JOHNS RIVER WATER MGMT. DIST.","2013-06-25"
"","ADOPTIVE COUPLE v. BABY GIRL","2013-06-25"
"","RYAN v. SCHAD","2013-06-24"
"","HOLLINGSWORTH v. PERRY","2013-06-26"
"","SEKHAR v. UNITED STATES","2013-06-26"
"","UNITED STATES v. WINDSOR","2013-06-26"
"","MADIGAN v. LEVIN","2013-10-15"
"","STANTON v. SIMS","2013-11-04"
"","BURT v. TITLOW","2013-11-05"
"","FORD MOTOR CO. v. UNITED STATES","2013-12-02"
"","UNITED STATES v. WOODS","2013-12-03"
"","ATLANTIC MARINE CONSTR. CO. v. UNITED STATES DIST. COURT FOR WESTERN DIST. OF TEX.","2013-12-03"
"","SPRINT COMMUNICATIONS, INC. v. JACOBS","2013-12-10"
"","UNITE HERE LOCAL 355 v. MULHALL","2013-12-10"
"","KANSAS v. CHEEVER","2013-12-11"
"","HEIMESHOFF v. HARTFORD LIFE & ACCIDENT INS. CO.","2013-12-16"
"","DAIMLERCHRYSLER AG v. BAUMAN","2014-01-14"
"","MISS. EX REL. HOOD v. AU OPTRONICS CORP.","2014-01-14"
"","RAY HALUCH GRAVEL CO. v. CENT. PENSION FUND OF INT'L UNION OF OPERATING ENG'RS","2014-01-15"
"","MEDTRONIC, INC. v. MIROWSKI FAMILY VENTURES, LLC","2014-01-22"
"","BURRAGE v. UNITED STATES","2014-01-27"
"","SANDIFER v. UNITED STATES STEEL CORP.","2014-01-27"
"","AIR WISCONSIN AIRLINES CORP. v. HOEPER","2014-01-27"
"","HINTON v. ALABAMA","2014-02-24"
"","KALEY v. UNITED STATES","2014-02-25"
"","FERNANDEZ v. CALIFORNIA","2014-02-25"
"","WALDEN v. FIORE","2014-02-25"
"","CHADBOURNE & PARKE LLP v. TROICE","2014-02-26"
"","UNITED STATES v. APEL","2014-02-26"
"","LAWSON v. FMR LLC","2014-03-04"
"","LAW v. SIEGEL","2014-03-04"
"","LOZANO v. MONTOYA ALVAREZ","2014-03-05"
"","BG GROUP PLC v. REPUBLIC OF ARGENTINA","2014-03-05"
"","ROSEMOND v. UNITED STATES","2014-03-05"
"","BRANDT TRUST v. UNITED STATES","2014-03-10"
"","LEXMARK INT'L, INC. v. STATIC CONTROL COMPONENTS, INC.,","2014-03-25"
"","UNITED STATES v. QUALITY STORES, INC., et al.","2014-03-25"
"","UNITED STATES v. CASTLEMAN","2014-03-26"
"","MCCUTCHEON v. FEC","2014-04-02"
"","NORTHWEST, INC. v. GINSBERG","2014-04-02"
"","SCHUETTE v. COALITION TO DEFEND AFFIRMATIVE ACTION","2014-04-22"
"","PRADO NAVARETTE v. CALIFORNIA","2014-04-22"
"","WHITE v. WOODALL","2014-04-23"
"","PAROLINE v. UNITED STATES","2014-04-23"
"","EPA v. EME HOMER CITY GENERATION","2014-04-29"
"","OCTANE FITNESS, LLC v. ICON HEALTH & FITNESS, INC.","2014-04-29"
"","HIGHMARK INC. v. ALLCARE HEALTH MGMT. SYS.","2014-04-29"
"","TOWN OF GREECE v. GALLOWAY","2014-05-05"
"","ROBERS v. UNITED STATES","2014-05-05"
"","TOLAN v. COTTON","2014-05-05"
"","PETRELLA v. METRO-GOLDWYN-MAYER, INC.","2014-05-19"
"","HALL v. FLORIDA","2014-05-27"
"","WOOD v. MOSS","2014-05-27"
"","MICHIGAN v. BAY MILLS INDIAN COMMUNITY","2014-05-27"
"","PLUMHOFF v. RICKARD","2014-05-27"
"","MARTINEZ v. ILLINOIS","2014-05-27"
"","LIMELIGHT NETWORKS, INC. v. AKAMAI TECHNOLOGIES, INC.","2014-06-02"
"","NAUTILUS, INC. v. BIOSIG INSTRUMENTS, INC","2014-06-02"
"","BOND v. UNITED STATES","2014-06-02"
"","CTS CORP. v. WALDBURGER","2014-06-09"
"","EXECUTIVE BENEFITS INS. AGENCY v. ARKISON","2014-06-09"
"","SCIALABBA v. CUELLAR DE OSORIO","2014-06-09"
"","POM WONDERFUL LLC v. COCA-COLA CO.","2014-06-12"
"","CLARK v. RAMEKER","2014-06-12"
"","REPUBLIC OF ARGENTINA v. NML CAPITAL, LTD.","2014-06-16"
"","SUSAN B. ANTHONY LIST v. DRIEHAUS","2014-06-16"
"","ABRAMSKI v. UNITED STATES","2014-06-16"
"","HALLIBURTON CO. v. ERICA P. JOHN FUND, INC.","2014-06-23"
"","UTIL. AIR REGULATORY GROUP v. EPA","2014-06-23"
"","LOUGHRIN v. UNITED STATES","2014-06-23"
"","RILEY v. CALIFORNIA","2014-06-25"
"","FIFTH THIRD BANCORP v. DUDENHOEFFER","2014-06-25"
"","AMERICAN BROADCASTING COS. v. AEREO, INC.","2014-06-25"
"","MCCULLEN v. COAKLEY","2014-06-26"
"","NLRB v. NOEL CANNING","2014-06-26"
"","BURWELL v. HOBBY LOBBY STORES","2014-06-30"
"","HARRIS v. QUINN","2014-06-30"
"","WILLIAMS v. JOHNSON","2014-07-01"
"","LANE v. FRANKS","2014-06-19"
"","ALICE CORP. PTY. LTD. v. CLS BANK INT'L","2014-06-19"
"","UNITED STATES v. CLARKE","2014-06-19"
"","HEIEN v. NORTH CAROLINA","2014-12-15"
"","HOLT v. HOBBS","2015-01-20"
"","DART CHEROKEE BASIN OPERATING CO., LLC v. OWENS","2014-12-15"
"","INTEGRITY STAFFING SOLUTIONS, INC. v. BUSK","2014-12-09"
"","WARGER v. SHAUERS","2014-12-09"
"","KANSAS v. NEBRASKA AND COLORADO","2015-02-24"
"","NC BD. OF DENTAL EXAMINERS v. FTC","2015-02-25"
"","TEVA PHARMS. USA, INC. v. SANDOZ, INC.","2015-01-20"
"","JENNINGS v. STEPHENS","2015-01-14"
"","ZIVOTOFSKY v. KERRY","2015-06-08"
"","OMNICARE, INC. v. LABORERS DIST. COUNCIL CONSTR. INDUS. PENSION FUND","2015-03-24"
"","DEP'T OF HOMELAND SEC. v. MACLEAN","2015-01-21"
"","JESINOSKI v. COUNTRYWIDE HOME LOANS, INC.","2015-01-13"
"","YATES v. UNITED STATES","2015-02-25"
"","JOHNSON v. UNITED STATES","2015-06-26"
"","ALA. LEGISLATIVE BLACK CAUCUS v. ALABAMA","2015-03-25"
"","M&G POLYMERS USA, LLC v. TACKETT","2015-01-26"
"","ALA. DEP'T OF REVENUE v. CSX TRANSP., INC.","2015-03-04"
"","COMPTROLLER OF THE TREASURY v. WYNNE","2015-05-18"
"","PEREZ v. MORTGAGE BANKERS ASS'N","2015-03-09"
"","ELONIS v. UNITED STATES","2015-06-01"
"","B&B HARDWARE, INC. v. HARGIS INDUS., INC.","2015-03-24"
"","WHITFIELD v. UNITED STATES","2015-01-13"
"","YOUNG v. UPS","2015-03-25"
"","HANA FINANCIAL, INC. v. HANA BANK","2015-01-21"
"","DIRECT MKTG. ASS'N v. BROHL","2015-03-03"
"","DOT v. ASS'N OF AM. R.R.","2015-03-09"
"","GELBOIM v. BANK OF AM. CORP.","2015-01-21"
"","UNITED STATES v. KWAI FUN WONG","2015-04-22"
"","KELLOGG BROWN & ROOT SERVICES, INC. v. UNITED STATES EX REL. CARTER","2015-05-26"
"","MELLOULI v. LYNCH","2015-06-01"
"","REED v. TOWN OF GILBERT","2015-06-18"
"","WELLNESS INTERNATIONAL NETWORK, LIMITED v. SHARIF","2015-05-26"
"","ARMSTRONG v. EXCEPTIONAL CHILD CENTER, INC.","2015-03-31"
"","TEXAS DEPARTMENT OF HOUSING AND COMMUNITY AFFAIRS v. INCLUSIVE COMMUNITIES PROJECT, INC.","2015-06-25"
"","RODRIGUEZ v. UNITED STATES","2015-04-21"
"","KERRY v. DIN","2015-06-15"
"","COLEMAN v. TOLLEFSON","2015-05-18"
"","HENDERSON v. UNITED STATES","2015-05-18"
"","TIBBLE v. EDISON INTERNATIONAL","2015-05-18"
"","EQUAL EMPLOYMENT OPPORTUNITY COMMISSION v. ABERCROMBIE & FITCH STORES, INC.","2015-06-01"
"","BAKER BOTTS, L.L.P., v. ASARCO, L.L.C.","2015-06-15"
"","ARIZONA STATE LEGISLATURE v. ARIZONA INDEPENDENT REDISTRICTING COMMISSION","2015-06-29"
"","OHIO v. CLARK","2015-06-18"
"","CITY OF LOS ANGELES, CALIFORNIA v. PATEL","2015-06-22"
"","DAVIS v. AYALA","2015-06-18"
"","KING v. BURWELL","2015-06-25"
"","MACH MINING, LLC, v. EQUAL EMPLOYMENT OPPORTUNITY COMMISSION","2015-04-29"
"","ONEOK, INC., v. LEARJET, INC.","2015-04-21"
"","WILLIAMS–YULEE v. THE FLORIDA BAR","2015-04-29"
"","T–MOBILE SOUTH, LLC V.CITY OF ROSWELL, GEORGIA.","2015-01-14"
"","CHRISTESON v. ROPER","2015-01-20"
"","WALKER v. TEXAS DIVISION, SONS OF CONFEDERATE VETERANS, INC.","2015-06-18"
"","CITY AND COUNTY OF SAN FRANCISCO, CALIFORNIA v. SHEEHAN","2015-05-18"
"","BANK OF AMERICA, N.A. v. CAULKETT","2015-06-01"
"","MICHIGAN v. ENVIRONMENTAL PROTECTION AGENCY","2015-06-29"
"","BRUMFIELD v. CAIN","2015-06-18"
"","COMMIL USA, LLC v. CISCO SYSTEMS, INC.","2015-05-26"
"","KIMBLE v. MARVEL ENTERPRISES, INC.","2015-06-22"
"","HARRIS v. VIEGELAHN","2015-05-18"
"","BULLARD v. BLUE HILLS BANK","2015-05-04"
"","MCFADDEN v. UNITED STATES","2015-06-18"
"","KINGSLEY v. HENDRICKSON","2015-06-22"
"","HORNE v. DEPARTMENT OF AGRICULTURE","2015-06-22"
"","OBERGEFELL v. HODGES","2015-06-26"
"","GLOSSIP v. GROSS","2015-06-29"
"","MATA v. LYNCH","2015-06-15"
"","WOODS v. DONALD","2015-03-30"
"","GRADY v. NORTH CAROLINA","2015-03-30"
"","TAYLOR v. BARKES","2015-06-01"
"","OBB PERSONENVERKEHR AG v. SACHS","2015-12-01"
"","HAWKINS v. COMMUNITY BANK OF RAYMORE","2016-03-22"
"","OCASIO v. UNITED STATES","2016-05-02"
"","DIRECTV, INC. v. IMBURGIA","2015-12-14"
"","KANSAS v. CARR","2016-01-20"
"","MONTGOMERY v. LOUISIANA","2016-01-25"
"","HURST v. FLORIDA","2016-01-12"
"","FEDERAL ENERGY REGULATORY COMMISSION v. ELECTRIC POWER SUPPLY ASSOCIATION","2016-01-25"
"","CAMPBELL-EWALD CO. v. GOMEZ","2016-01-20"
"","SPOKEO, INC. v. ROBINS","2016-05-16"
"","FOSTER v. CHATMAN","2016-05-23"
"","LOCKHART v. UNITED STATES","2016-03-01"
"","LUNA TORRES v. LYNCH","2016-05-19"
"","SHAPIRO v. MCMANUS","2015-12-08"
"","BRUCE v. SAMUELS","2016-01-12"
"","MONTANILE v. BD. OF NATIONAL ELEVATOR INDUSTRY HEALTH BENEFIT PLAN","2016-01-20"
"","KINGDOMWARE TECHNOLOGIES, INC., v. UNITED STATES","2016-06-16"
"","TYSON FOODS, INC., v. BOUAPHAKEO","2016-03-22"
"","LUIS v. UNITED STATES","2016-03-30"
"","MUSACCHIO v. UNITED STATES","2016-01-25"
"","GREEN v. BRENNAN","2016-05-23"
"","MERRILL LYNCH, PIERCE, FENNER & SMITH, INC. v. MANNING","2016-05-16"
"","MENOMINEE INDIAN TRIBE OF WISCONSIN v. UNITED STATES","2016-01-25"
"","GOBEILLE v. LIBERTY MUTUAL INSURANCE COMPANY","2016-03-01"
"","DOLLAR GENERAL CORPORATION v. MISSISSIPPI BAND OF CHOCTAW INDIANS","2016-06-23"
"","CALIFORNIA FRANCHISE TAX BOARD v. HYATT","2016-04-19"
"","HARRIS v. ARIZONA INDEPENDENT REDISTRICTING COMMISSION","2016-04-20"
"","EVENWEL v. ABBOTT","2016-04-04"
"","FISHER v. UNIVERSITY OF TEXAS AT AUSTIN","2016-06-23"
"","FRIEDRICHS v. CALIFORNIA TEACHERS ASSOCIATION","2016-03-29"
"","MOLINA–MARTINEZ v. UNITED STATES","2016-04-20"
"","DUNCAN v. OWENS","2016-01-20"
"","BANK MARKAZI v. PETERSON","2016-04-20"
"","PUERTO RICO v. SANCHEZ VALLE","2016-06-09"
"","HEFFERNAN v. CITY OF PATERSON, NEW JERSEY","2016-04-26"
"","AMERICOLD LOGISTICS, LLC, v. CONAGRA FOODS, INC.","2016-03-07"
"","NEBRASKA v. PARKER","2016-03-22"
"","STURGEON v. FROST","2016-03-22"
"","UTAH v. STRIEFF","2016-06-20"
"","TAYLOR v. UNITED STATES","2016-06-20"
"","HALO ELECTRONICS v. PULSE ELECTRONICS","2016-06-13"
"","HUGHES v. PPL ENERGYPLUS","2016-04-19"
"","VOISINE v. UNITED STATES","2016-06-27"
"","WILLIAMS v. PENNSYLVANIA","2016-06-09"
"","NICHOLS v. UNITED STATES","2016-04-04"
"","HUSKY INTERNATIONAL ELECTRONICS, INC., v. RITZ","2016-05-16"
"","WHOLE WOMAN'S HEALTH v. HELLERSTEDT","2016-06-27"
"","WITTMAN v. PERSONHUBALLAH","2016-05-23"
"","RJR NABISCO INC. v. EUROPEAN COMMUNITY","2016-06-20"
"","SIMMONS v. HIMMELREICH","2016-06-06"
"","BETTERMAN v. MONTANA","2016-05-19"
"","SHERIFF v. GILLIE","2016-05-16"
"","ROSS v. BLAKE","2016-06-06"
"","WELCH v. UNITED STATES","2016-04-18"
"","UNITED STATES ARMY CORP OF ENGINEERS v. HAWKES CO., INC.","2016-05-31"
